Bx(nT),By(nT),Bz(nT),Sampling frequency (Hz)
8838.15,2697.97,57782.39,
8839.95,2699.67,57784.31,
8838.22,2698.37,57783.31,
8835.96,2694.04,57779.06,
8836.23,2694.86,57780.38,
8838.98,2696.95,57782.27,
8838.46,2697.68,57783.47,
8835.73,2694.69,57781.04,
8838.39,2697.74,57783.88,
8838.04,2697.74,57784.19,
8837.6,2695.75,57782.19,
8836.19,2695.45,57782.3,
8836.51,2695.12,57782.02,
8835.47,2692.77,57779.92,
8836.12,2693.14,57780.25,
8836.25,2695.23,57782.81,
8833.8,2692.81,57780.89,
8839.09,2697.14,57784.78,
8833.87,2693.43,57781.81,
8827.89,2686.48,57775.79,
8834.46,2692.87,57781.46,
8840.74,2700.61,57788.86,
8832.61,2690.92,57779.72,
8831.75,2690,57779.39,
8834.29,2693.97,57783.46,
8833.18,2690.35,57779.86,
8836.6,2694.69,57784,
8832.88,2691.02,57781.02,
8834.21,2692.83,57782.98,
8831.2,2688.83,57779.26,
8833.35,2691.17,57781.52,
8831.83,2689.39,57779.98,
8833.09,2690.8,57781.42,
8835.6,2694.6,57785.23,
8831.73,2689.06,57780.05,
8828.51,2686.66,57778.43,
8834.63,2694.96,57786.31,
8825.17,2681.15,57772.94,
8831.02,2688.47,57780.3,
8834.11,2692.62,57784.31,
8833.14,2690.45,57782.13,
8828.92,2685.59,57777.77,
8827.7,2684.75,57777.25,
8832.69,2690.24,57782.4,
8833.23,2691.52,57783.68,
8828.09,2684.55,57777.19,
8832.55,2690.87,57783.25,
8827.34,2685.7,57778.98,
8830.1,2688.2,57781.12,
8831.14,2689.81,57783.04,
8831.39,2689.73,57782.86,
8831.98,2690.74,57783.93,
8829.73,2687.11,57780.58,
8828.64,2686.08,57779.89,
8831.1,2686.74,57780.26,
8833.02,2691.42,57785.27,
8833.38,2691.66,57785.5,
8831.41,2690.02,57784.23,
8828.63,2685.18,57779.54,
8825.1,2682.21,57777.14,
8830.51,2687.82,57782.31,
8835.86,2695.12,57789.45,
8831.28,2689.39,57783.9,
8828.91,2686.04,57780.87,
8831.11,2688.13,57782.72,
8832.01,2688.41,57783.13,
8831.9,2688.28,57782.77,
8831.88,2689.01,57784.04,
8829.92,2686.57,57781.74,
8832.64,2689.59,57784.75,
8833.69,2688.79,57783.63,
8832.35,2688.71,57784.02,
8832.35,2689.49,57785.25,
8829.49,2686.78,57782.63,
8832.54,2689.59,57785.21,
8831.5,2688.65,57784.4,
8830.04,2685.52,57781.34,
8831.37,2688.53,57784.41,
8833.74,2690.52,57786.16,
8834.09,2690.39,57785.9,
8829.79,2684.96,57780.9,
8832.03,2687.95,57783.84,
8827.57,2683.48,57779.94,
8828.46,2684.16,57780.52,
8828.53,2684.1,57780.65,
8828.4,2683.63,57780.06,
8829.05,2683.73,57780.14,
8832.77,2687.92,57784.01,
8826.2,2680.67,57777.36,
8829.67,2683.64,57779.95,
8830.65,2686.51,57782.97,
8831.76,2686.28,57782.57,
8832.71,2687.95,57784.16,
8830.18,2686.24,57782.87,
8831.16,2687.23,57783.95,
8828.27,2683.05,57779.65,
8830.64,2686,57782.6,
8835.01,2692.72,57789.07,
8834.74,2690.87,57786.97,
8829.69,2685.51,57782.19,
8826.63,2680.43,57777,
8825.54,2680.02,57777.19,
8832.41,2688.57,57784.88,
8822,2675.91,57773.13,
8827.79,2682.25,57778.93,
8824.25,2680.07,57777.38,
8831.28,2685.89,57782.25,
8832.95,2689.24,57785.41,
8836.74,2691.84,57787.47,
8833.13,2688.18,57784.07,
8829.06,2683.6,57780.06,
8835.21,2690.67,57786.48,
8830.72,2684.3,57780.45,
8827.02,2679.33,57775.55,
8831.33,2686.99,57783.22,
8830.6,2684.8,57780.91,
8829.75,2684.6,57780.68,
8826.22,2680.28,57776.74,
8829.33,2682.03,57777.9,
8829.3,2683.19,57778.98,
8826.87,2680.9,57776.98,
8831.53,2686.23,57781.84,
8826.96,2679.72,57775.74,
8826.05,2679.41,57775.46,
8825.77,2679.42,57775.57,
8833.15,2686.45,57781.56,
8829.67,2681.42,57776.46,
8829.35,2682.7,57777.98,
8828.25,2680.17,57775.48,
8831.95,2684.49,57779.12,
8828.23,2682.52,57777.55,
8828.16,2680.79,57775.51,
8832.14,2686.23,57780.74,
8833.08,2687.38,57781.61,
8832.45,2684.18,57778.06,
8823.92,2676.61,57771.51,
8830.07,2683.52,57777.42,
8827.45,2680.98,57775.09,
8829.45,2682.93,57776.73,
8831.14,2684.15,57777.5,
8835.58,2689.33,57782.24,
8829.42,2682.13,57775.23,
8828.72,2683.44,57776.7,
8829.31,2682.68,57775.57,
8827.05,2681.35,57774.47,
8827.67,2679.9,57772.61,
8827.94,2682.61,57775.43,
8832.74,2685.57,57777.42,
8828.41,2680.92,57772.93,
8830.48,2684.18,57776.25,
8834.72,2688.37,57779.46,
8830.09,2683.33,57775.02,
8831.44,2684.67,57775.78,
8830.2,2681.57,57772.59,
8833.52,2686.97,57777.69,
8833.57,2686.21,57776.59,
8836.14,2689.8,57779.68,
8832.2,2686.14,57776.48,
8831.64,2685.56,57775.6,
8827.5,2678.72,57768.68,
8832.01,2684.18,57773.79,
8829.33,2680.68,57770.03,
8835.47,2689.38,57778.29,
8830.85,2682.99,57771.83,
8831.88,2685.4,57774.3,
8834.21,2687.51,57775.63,
8835.34,2690.03,57778.27,
8832.82,2686.24,57774.04,
8832.99,2686.49,57774,
8833.64,2688.24,57775.97,
8833.02,2686.58,57773.77,
8835.7,2690.85,57777.66,
8833.69,2687.93,57774.51,
8836.88,2691.76,57777.92,
8832.42,2685.11,57771.31,
8833.75,2686.97,57772.61,
8832.51,2685.92,57771.88,
8832.58,2686.08,57771.72,
8833.84,2687.95,57773.41,
8837.43,2692.01,57776.73,
8833.72,2688.36,57773.34,
8832.48,2685.5,57770.03,
8832.77,2687.96,57772.7,
8834.09,2689.08,57773.38,
8838.1,2694.03,57777.68,
8834.6,2690.47,57774.31,
8834.79,2690.95,57774.57,
8830.84,2684.39,57767.97,
8830.43,2684.57,57767.88,
8835.01,2690.46,57773.34,
8832.77,2686.9,57769.52,
8834.52,2689.2,57771.48,
